City,Score
"Saint Paul, MN",3.51
"Reading, PA",3.56
"Ann Arbor, MI",3.59
"Berkeley, CA",3.61
"Malden, MA",3.62
"Tulsa, OK",3.62
"Richmond, VA",3.63
"Portsmouth, NH",3.64
"Waukesha, WI",3.64
"Nashville, TN",3.66
